IndirectNetworkEffectsStrengthA,IndirectNetworkEffectsStrengthB,aAdoptersA_user_TMAX,aAdoptersA_cmpl_TMAX,aAdoptersB_user_TMAX,aAdoptersB_cmpl_TMAX,mhg_user_TMAX,mhg_cmpl_TMAX,mhg_ratios_user_TMAX,mhg_ratios_cmpl_TMAX
0.01,0.01,2.0107987292132508e7,133.80267446809094,6.218764200219196e6,130.2500861908604,1.2507186700174839e6,0.0,0.04750751988451122,0.0
0.01,0.07102040816326531,2.010795557736145e7,133.88340768269177,6.12216013330504e6,129.56361015337356,1.155905046484193e6,0.0,0.04406785922084758,0.0
0.01,0.1320408163265306,2.0107924811476093e7,133.94892150080187,6.033539395634936e6,128.83395507292244,1.068888322342509e6,0.0,0.04088861717438722,0.0
0.01,0.19306122448979593,2.0107895184013415e7,134.00211146989574,5.952159738768564e6,128.04568222378649,988949.8852948495,0.0,0.03794887954861135,0.0
0.01,0.2540816326530612,2.0107866818801884e7,134.04532147458983,5.877358160785679e6,127.18142253830956,915446.8215497371,0.0,0.03522951301244678,0.0
0.01,0.31510204081632653,2.0107839789662573e7,134.08044740988532,5.808541680982933e6,126.22117827650061,847803.2845930537,0.0,0.03271302691517055,0.0
0.01,0.37612244897959185,2.0107814132596437e7,134.1090222509518,5.745179049397152e6,125.14172734781387,785502.6941760702,0.0,0.03038343330872677,0.0
0.01,0.43714285714285717,2.0107789855229028e7,134.13228544354553,5.686793406860721e6,123.9164489764629,728080.7992791361,0.0,0.028226112121345848,0.0
0.01,0.4981632653061224,2.0107766944122016e7,134.1512392679805,5.632955845860242e6,122.51624370361206,675119.5707737511,0.0,0.026227685068598513,0.0
0.01,0.5591836734693878,2.0107745370431088e7,134.16669448843854,5.5832797917723525e6,120.91275191186983,626241.8563054071,0.0,0.024375899846407544,0.0
0.01,0.6202040816326531,2.01077250942768e7,134.17930725077207,5.537416113271271e6,119.08554422109037,581106.7170007571,0.0,0.022659524948520127,0.0
0.01,0.6812244897959183,2.010770606811896e7,134.18960886766132,5.495048870758491e6,117.03448636890104,539405.3640226985,0.0,0.021068254776114678,0.0
0.01,0.7422448979591837,2.010768823935299e7,134.19802984313935,5.455891617216995e6,114.79546376922264,500857.6173654969,0.0,0.01959262435760826,0.0
0.01,0.803265306122449,2.010767155230415e7,134.20491924276368,5.419684174239495e6,112.4515293858308,465208.8164230709,0.0,0.018223932843124107,0.0
0.01,0.8642857142857143,2.010765594974826e7,134.2105603093606,5.386189816269857e6,110.12702317551557,432227.11995917675,0.0,0.01695417489876367,0.0
