IndirectNetworkEffectsStrengthA,IndirectNetworkEffectsStrengthB,aAdoptersA_user_TMAX,aAdoptersA_cmpl_TMAX,aAdoptersB_user_TMAX,aAdoptersB_cmpl_TMAX,mhg_user_TMAX,mhg_cmpl_TMAX,mhg_ratios_user_TMAX,mhg_ratios_cmpl_TMAX
0.01,0.01,3.835549951633455e6,58.054226613003344,8.961625235342277e6,45.08672109505551,3.7256576607380486e6,0.0,0.29113125407002477,0.0
0.01,0.07102040816326531,4.864166460172265e6,58.05422803217608,9.521835677035032e6,45.08672074807041,4.701321000049879e6,0.0,0.3267982970675778,0.0
0.01,0.1320408163265306,6.514759687155917e6,58.0542307793081,1.0408348699225299e7,45.08672009037097,6.24650747561298e6,0.0,0.3691111191274899,0.0
0.01,0.19306122448979593,9.253005512955165e6,58.05423650121349,1.1859536827614572e7,45.08671874273753,8.788490091697192e6,0.0,0.4162686781122178,0.0
0.01,0.2540816326530612,1.3661721931412097e7,58.05424860149284,1.4189268463902563e7,45.08671588686083,1.2924572194131766e7,0.0,0.4640614933501988,0.0
0.01,0.31510204081632653,1.962782780212366e7,58.054271180900145,1.741960637533137e7,45.0867103451789,1.883169576487811e7,0.0,0.5083130905820737,0.0
0.01,0.37612244897959185,2.5443011892450124e7,58.054303148522564,2.0732054173146803e7,45.086701931776936,2.523962006061605e7,0.0,0.5466071239564726,0.0
0.01,0.43714285714285717,2.959700027268821e7,58.05433778825404,2.317534223973485e7,45.0866923419402,3.043101794994125e7,0.0,0.5766470939351902,0.0
0.01,0.4981632653061224,3.225436773946043e7,58.05437134364588,2.466200378980549e7,45.08668315715788,3.406252111385046e7,0.0,0.5984661389796395,0.0
0.01,0.5591836734693878,3.410916574811803e7,58.05440438742198,2.554183614567842e7,45.086674660113566,3.6648540261683695e7,0.0,0.6143826440154906,0.0
0.01,0.6202040816326531,3.5611486700501196e7,58.054438593359286,2.609151527174607e7,45.08666651751991,3.866440099028279e7,0.0,0.6266210679291299,0.0
0.01,0.6812244897959183,3.695547631263054e7,58.05447512644154,2.644308804266313e7,45.086658408928365,4.0352497149312384e7,0.0,0.6364891312549574,0.0
0.01,0.7422448979591837,3.820068062687335e7,58.05451437665014,2.6642029865792792e7,45.086650195232195,4.17953329182453e7,0.0,0.6445648647425442,0.0
0.01,0.803265306122449,3.934730742737913e7,58.054556040987485,2.669426874991541e7,45.086641898911296,4.299400362786006e7,0.0,0.6510141961548405,0.0
0.01,0.8642857142857143,4.036989795395137e7,58.05459923382405,2.6589958738221325e7,45.086633651104286,4.391225957349547e7,0.0,0.6557997842702763,0.0
0.01,0.9253061224489796,4.123180338870674e7,58.05464262697728,2.631451876599592e7,45.086625641155486,4.4498722412544936e7,0.0,0.6587882358809802,0.0
0.01,0.9863265306122448,4.1892872427499436e7,58.05468467869076,2.585439723245141e7,45.08661806961794,4.469966967973865e7,0.0,0.6598003123093105,0.0
0.01,1.04734693877551,4.231527966849874e7,58.054723947980484,2.5200812691699e7,45.086611106106616,4.446849236151452e7,0.0,0.6586354572221912,0.0
0.01,1.1083673469387756,4.246901497469583e7,58.05475939367146,2.4352537569526333e7,45.0866048595615,4.3773952544299684e7,0.0,0.655087331521223,0.0
0.01,1.1693877551020408,4.233707214981149e7,58.05479052552766,2.3317868394495986e7,45.08659936842321,4.260734054431165e7,0.0,0.6489586342029802,0.0
0.01,1.230408163265306,4.1919608506070115e7,58.05481735769021,2.2115565019427292e7,45.086594610588264,4.0987573525497824e7,0.0,0.6400790576319352,0.0
0.01,1.2914285714285714,4.123599775352797e7,58.054840234155485,2.0774469393399063e7,45.08659052460378,3.8962867146927185e7,0.0,0.6283272637603089,0.0
0.01,1.3524489795918366,4.032385428522916e7,58.054859640355815,1.9331657220473185e7,45.086587031442924,3.66079115057021e7,0.0,0.6136551440381636,0.0
0.01,1.4134693877551021,3.923482519989328e7,58.05487607304509,1.7829280940077472e7,45.08658405022806,3.401650613997044e7,0.0,0.5961103825324525,0.0
0.01,1.4744897959183674,3.802798346160404e7,58.05488997918761,1.6310618209863823e7,45.08658150661872,3.1291001671467815e7,0.0,0.5758521697089992,0.0
0.01,1.5355102040816326,3.67624768638087e7,58.05490174133401,1.481608478359316e7,45.08657933572112,2.8530961647401687e7,0.0,0.5531554338882745,0.0
0.01,1.596530612244898,3.549121790702484e7,58.05491168366801,1.3379975422099479e7,45.08657748204322,2.5823593329124354e7,0.0,0.5284011207832535,0.0
0.01,1.6575510204081632,3.425680548782841e7,58.05492008259709,1.2028451511853337e7,45.08657589833414,2.3237656999681983e7,0.0,0.502053105157043,0.0
